list_name;name;label;media::image;media::audio;label::language (xx)
yes_no;tak;Tak;;;
yes_no;nie;Nie;;;
;;;;;
obsz_wspolpracy;a_finansowanie;Finansowanie działań na rzecz ograniczenia ryzyka ;;;
obsz_wspolpracy;b_edukacja;Edukacja (szkolenia, warsztaty);;;
obsz_wspolpracy;c_projekty;Projekty (badawcze, rozwojowe);;;
obsz_wspolpracy;d_wymiana;Wymiana informacji na temat dobrych praktyk, doświadczeń;;;
obsz_wspolpracy;g_ekspertyzy;Ekspertyzy, raporty;;;
obsz_wspolpracy;h_inne;Inne ;;;
;;;;;
18_wspolpraca;a_Bardzo_dobrze;Bardzo dobrze. Współpraca zaowocowała nawiązaniem stałego partnerstwa.;;;
18_wspolpraca;b_Dobrze;Dobrze. Kontakt z przedstawicielami instytucji był wystarczający aby cele współpracy zostały zrealizowane.;;;
18_wspolpraca;c_Wystarczająco;Wystarczająco. Cele współpracy zostały zrealizowane, ale nastąpiły utrudnienia w kontakcie z przedstawicielami instytucji lub instytucja nie w pełni wywiązała się z powierzonych jej zadań.;;;
18_wspolpraca;d_zle;Źle. Udało się zrealizować część celów. Wystąpiły utrudnienia w kontakcie z przedstawicielami instytucji.;;;
18_wspolpraca;e_Bardzo_zle;Bardzo źle. Współpracy została zakończona bez osiągnięcia zakładanych celów.;;;
;;;;;
wzrost;wzrosly;wzrosły;;;
wzrost;spadly;spadły;;;
;;;;;
zmiana_o;1-25%;1-25%;;;
zmiana_o;26-50%;26-50%;;;
zmiana_o;51-75%;51-75%;;;
zmiana_o;76-100%;76-100%;;;
;;;;;
23_obszary;Edukacja_s;Edukacja społeczeństwa ;;;
23_obszary;Zapewnienie_cd;Zapewnienie ciągłości działania usług i procesów;;;
23_obszary;Wsppraca_op;Współpraca z organizacjami pozarządowymi;;;
23_obszary;Wsppraca_sn;Współpraca ze światem nauki;;;
23_obszary;Wzrost_wykorz_nt;Wzrost wykorzystania nowych technologii;;;
23_obszary;Adaptacja_zm_kl;Adaptacja do zmian klimatu/przeciwdziałanie zmianom klimatu;;;
23_obszary;Zdrowie;Zdrowie;;;
23_obszary;Inne_;Inne;;;
;;;;;
25_forma;f_papierowa;forma papierowa;;;
25_forma;f_Excel;forma elektroniczna w Excel;;;
25_forma;f_Word;forma elektroniczna w Word;;;
25_forma;system_i_cyjny;system informacyjny;;;
25_forma;system_GIS;system GIS;;;
25_forma;Inne_;inna;;;
;;;;;
21_zrodla_finans;b_buzet_panstwa;Budżet państwa (proszę podać procent udziału z budżetu państwa);;;
21_zrodla_finans;c_srodki_UE;Środki Unii Europejskiej (proszę podać procent udziału środków Unii Europejskiej). ;;;
21_zrodla_finans;Inne_;Inne;;;
;;;;;
21_skutki_dzialan;tak;zdecydowanie tak;;;
21_skutki_dzialan;czesciowo;częściowo;;;
21_skutki_dzialan;malym_st;w małym stopniu;;;
21_skutki_dzialan;nie;nie;;;
